,track_name,artist_name,energy,key,speechiness,acousticness,instrumentalness,liveness
73,It's You,Ali Gatie,0.463,11,0.0287,0.374,0.0,0.194
74,we fell in love in october,girl in red,0.366,7,0.028,0.113,0.181,0.155
75,Cash Shit (feat. DaBaby),Megan Thee Stallion,0.635,1,0.416,0.0218,0.0,0.0946
76,Gordon Ramsay,HL Wave,0.732,10,0.343,0.0207,0.0,0.199
77,Sunshine,Ant Beale,0.624,3,0.0951,0.0942,0.0,0.115
78,Smack a Bitch,Rico Nasty,0.7,2,0.221,0.0055,0.0,0.115
79,New Flesh,Current Joys,0.594,9,0.0383,0.887,0.5,0.0917
80,Wii Shop - Instrumental,Iceboy Ben,0.516,0,0.0694,0.000192,0.904,0.109
81,Wannabe,why mona,0.724,6,0.0865,0.192,2.38e-05,0.235
82,Shh,Young Fanatic,0.716,4,0.253,0.622,0.000402,0.281
83,Walk,Comethazine,0.795,1,0.264,0.221,0.0,0.291
84,Ransom,Lil Tecca,0.642,7,0.287,0.0204,0.0,0.0658
85,Panini,Lil Nas X,0.594,5,0.0752,0.342,0.0,0.123
86,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,0.643,10,0.232,0.41,0.0,0.606
87,My Type,Saweetie,0.811,2,0.258,0.000677,0.0,0.0672
88,Mr. Sandman,The Chordettes,0.535,9,0.0443,0.85,0.0,0.0561
89,Take Your Man,Mahogany Lox,0.658,0,0.108,0.411,0.000738,0.0809
90,Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],Getter Jaani,0.936,2,0.0606,0.283,0.0207,0.192
91,Midnight City,M83,0.729,11,0.0393,0.0182,1.4e-06,0.0658
92,Be Gone Thot!,LIL MAYO,0.451,2,0.12,0.0142,4.74e-05,0.169
93,Eyes. Lips. Face.,iLL Wayno,0.73,6,0.181,0.0365,6.33e-06,0.232
94,The Muffin Song (asdfmovie),The Gregory Brothers,0.842,10,0.0922,0.205,1.48e-05,0.115
95,Becky,Championxiii,0.439,4,0.338,0.00506,0.0,0.092
96,7 rings,Ariana Grande,0.321,1,0.323,0.578,0.0,0.0884
97,I Don't Care (with Justin Bieber),Ed Sheeran,0.675,6,0.0442,0.0912,0.0,0.0894
98,I Love It (& Lil Pump),Kanye West,0.522,2,0.33,0.0114,0.0,0.259
99,Ride It,Regard,0.751,7,0.0874,0.177,6.43e-05,0.106
100,Never Ending Story,Gaten Matarazzo,0.489,0,0.0465,0.0103,1.22e-05,0.442
101,You Make My Dreams (Come True),Daryl Hall & John Oates,0.501,5,0.0551,0.234,0.112,0.0467
102,Indigo,88rising,0.664,7,0.0828,0.0958,1.75e-06,0.263
103,Crystal Dolphin,Engelwood,0.687,1,0.125,0.36,0.00293,0.474
