,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
112,0.814,0,0.316,0.115,5.57e-06,0.792,0
113,0.636,0,0.0739,0.966,0.979,0.289,0
114,0.367,9,0.0322,0.371,0.000949,0.272,0
115,0.573,2,0.0275,0.32,9.65e-05,0.204,0
116,0.896,4,0.0575,0.0281,0.000182,0.146,0
117,0.459,6,0.0321,0.368,0.219,0.0952,0
118,0.564,7,0.0281,0.0315,0.000526,0.0871,0
119,0.477,2,0.0292,0.24,0.169,0.108,0
120,0.307,5,0.0944,0.799,0.0,0.199,0
121,0.24,10,0.328,0.458,0.0,0.109,0
122,0.154,9,0.452,0.964,0.0457,0.327,0
123,0.187,0,0.918,0.807,0.0,0.278,0
124,0.164,8,0.0712,0.956,8.13e-05,0.117,0
125,0.39,7,0.478,0.444,0.00634,0.0956,0
126,0.145,7,0.904,0.367,0.0,0.462,0
127,0.186,5,0.0738,0.104,0.0,0.216,0
128,0.172,0,0.557,0.485,0.0,0.219,0
129,0.0386,5,0.357,0.907,0.0,0.168,0
130,0.465,0,0.165,0.726,0.0,0.0847,0
131,0.331,3,0.254,0.611,3.54e-06,0.116,0
132,0.102,0,0.7,0.524,0.0,0.217,0
133,0.192,4,0.414,0.79,0.0,0.237,0
134,0.481,5,0.0807,0.653,0.0,0.471,0
135,0.55,5,0.238,0.47,3.61e-06,0.144,0
136,0.159,3,0.856,0.351,0.0,0.397,0
137,0.138,0,0.0854,0.9,0.0,0.27,0
138,0.239,0,0.0681,0.67,0.0,0.191,0
139,0.368,6,0.0681,0.55,0.00259,0.335,0
140,0.377,7,0.225,0.806,1.95e-06,0.343,0
141,0.32,7,0.158,0.63,1.97e-06,0.278,0
142,0.187,7,0.915,0.313,0.0,0.312,0
143,0.291,4,0.4,0.624,0.0,0.269,0
144,0.246,6,0.777,0.657,0.0,0.208,0
145,0.528,0,0.267,0.0836,0.0,0.4,0
146,0.187,11,0.946,0.342,1.81e-06,0.562,0
147,0.258,5,0.133,0.844,6.06e-06,0.364,0
148,0.116,0,0.434,0.934,0.0865,0.104,0
149,0.26,3,0.661,0.88,0.0,0.366,0
150,0.521,7,0.0786,0.511,0.0,0.312,0
151,0.188,0,0.692,0.392,0.0,0.39,0
152,0.121,0,0.836,0.636,1.17e-06,0.402,0
153,0.4,1,0.0957,0.676,0.0,0.11,0
154,0.262,1,0.0618,0.754,0.0,0.285,0
155,0.0827,4,0.0463,0.865,0.0,0.108,0
156,0.387,1,0.517,0.494,0.0,0.344,0
157,0.255,10,0.105,0.982,0.00119,0.261,0
158,0.302,1,0.839,0.0228,0.0,0.284,0
159,0.244,5,0.22,0.405,0.0,0.296,0
160,0.191,8,0.561,0.498,0.0,0.165,0
161,0.369,5,0.0551,0.523,0.0,0.0907,0
162,0.379,10,0.353,0.853,0.0,0.119,0
163,0.276,5,0.097,0.544,0.0,0.25,0
164,0.182,8,0.377,0.69,0.0,0.341,0
165,0.756,9,0.0433,1.12e-05,0.0226,0.148,0
166,0.785,4,0.0501,1.63e-06,0.674,0.426,0
