,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
113,0.69,0,0.134,0.291,0.0,0.116,1
114,0.806,4,0.0788,0.12,1.39e-06,0.122,1
115,0.412,11,0.0363,0.72,0.0,0.153,1
116,0.127,11,0.0274,0.611,0.000109,0.237,1
117,0.537,2,0.0649,0.0758,0.0,0.316,1
118,0.868,5,0.0656,0.00939,0.0,0.283,1
119,0.741,10,0.0287,0.101,1.41e-05,0.289,1
120,0.618,1,0.104,0.0697,6.37e-05,0.509,1
121,0.714,6,0.0596,0.395,0.0,0.115,1
122,0.893,4,0.0376,0.0303,0.0,0.0561,1
123,0.696,1,0.172,0.487,0.0718,0.128,1
124,0.399,4,0.0369,0.0224,0.0,0.0747,1
125,0.842,1,0.261,0.0597,3.11e-06,0.319,1
126,0.674,7,0.0811,0.448,3.59e-06,0.0774,1
127,0.439,1,0.365,0.357,0.0,0.162,1
128,0.717,9,0.179,0.199,0.0,0.132,1
129,0.745,6,0.0379,0.178,1.59e-05,0.111,1
130,0.882,11,0.236,0.406,0.0,0.241,1
131,0.613,7,0.105,0.816,0.0,0.0816,1
132,0.556,1,0.216,0.0145,0.000179,0.0733,1
133,0.543,11,0.492,0.0603,0.0,0.0672,1
134,0.391,7,0.701,0.0216,0.0,0.0968,1
135,0.423,1,0.0513,0.128,0.0,0.18,1
136,0.32,10,0.0289,0.954,0.0,0.0948,1
137,0.414,8,0.663,0.0139,4.11e-06,0.0935,1
138,0.521,9,0.0466,0.162,0.0,0.323,1
139,0.512,0,0.0363,0.599,0.000137,0.103,1
140,0.354,6,0.0345,0.765,0.00158,0.128,1
141,0.761,0,0.0851,0.0691,0.0,0.142,1
142,0.493,5,0.0563,0.212,0.0133,0.13,1
143,0.778,0,0.217,0.0358,1.43e-06,0.126,1
144,0.904,1,0.0437,0.0271,0.000303,0.06,1
145,0.503,0,0.237,0.874,0.0,0.112,1
146,0.715,9,0.0407,0.0755,0.0,0.271,1
147,0.631,6,0.0896,0.519,0.000579,0.165,1
148,0.807,10,0.0336,0.0495,0.0177,0.101,1
149,0.433,1,0.352,0.182,0.0,0.299,1
150,0.807,3,0.0326,0.239,0.0,0.205,1
151,0.547,2,0.0489,0.346,0.000302,0.132,1
152,0.941,11,0.481,0.037,0.0137,0.321,1
153,0.535,9,0.338,0.147,4.53e-06,0.176,1
154,0.469,1,0.046,0.796,4.56e-06,0.0774,1
155,0.604,9,0.338,0.153,0.000252,0.0914,1
156,0.438,5,0.0358,0.0447,0.000867,0.111,1
157,0.649,0,0.0434,0.0137,0.00111,0.324,1
158,0.609,10,0.0791,0.0928,0.0,0.139,1
159,0.586,11,0.0377,0.162,2.03e-06,0.193,1
160,0.674,2,0.0336,0.215,1.97e-05,0.157,1
161,0.581,11,0.0378,0.427,0.000204,0.0759,1
162,0.69,0,0.0341,0.51,0.0,0.102,1
163,0.543,5,0.0347,0.536,2.54e-05,0.125,1
164,0.635,5,0.0392,0.764,2.25e-06,0.155,1
165,0.513,8,0.0598,0.22,0.0,0.138,1
166,0.798,1,0.146,0.000122,0.222,0.0194,1
167,0.758,3,0.0586,0.122,0.0,0.121,1
168,0.781,1,0.0963,0.00657,0.00144,0.102,1
169,0.873,10,0.0564,0.0654,0.0,0.123,1
170,0.627,7,0.0384,0.164,0.0,0.0708,1
171,0.424,2,0.0363,0.643,0.0,0.0652,1
172,0.473,1,0.129,0.866,0.0,0.109,1
173,0.528,10,0.0385,0.752,0.684,0.0493,1
174,0.673,11,0.159,0.264,3.35e-06,0.0904,1
175,0.631,1,0.114,0.0366,1.8e-06,0.0311,1
176,0.273,0,0.043,0.792,0.00223,0.109,1
177,0.573,11,0.0585,0.495,0.0,0.126,1
178,0.407,10,0.0267,0.309,0.000961,0.11,1
179,0.925,4,0.0511,0.0276,0.000238,0.14,1
180,0.817,8,0.0407,0.00987,0.00167,0.117,1
181,0.74,0,0.0786,0.515,0.0,0.0468,1
182,0.805,7,0.225,0.0143,1.53e-06,0.298,1
183,0.413,9,0.0702,0.287,0.0,0.0565,1
184,0.858,1,0.0485,0.00347,0.0,0.0897,1
185,0.397,8,0.418,0.0915,0.0,0.0919,1
186,0.373,7,0.158,0.852,0.118,0.108,1
187,0.463,11,0.0287,0.374,0.0,0.194,1
188,0.408,2,0.206,0.373,0.0685,0.118,1
189,0.465,8,0.029,0.743,0.676,0.136,1
190,0.559,6,0.0776,0.128,0.0,0.399,1
191,0.406,4,0.102,0.00986,0.0,0.0509,1
192,0.43,10,0.0364,0.123,0.0,0.0887,1
193,0.603,0,0.0397,0.107,7.4e-06,0.106,1
194,0.542,10,0.314,0.523,0.0,0.123,1
195,0.225,4,0.457,0.676,0.0,0.0938,1
196,0.465,1,0.23,0.0295,0.0,0.097,1
197,0.742,8,0.0528,0.0162,3.98e-06,0.653,1
198,0.737,6,0.16,0.243,4.11e-05,0.109,1
199,0.638,8,0.189,0.0167,0.0,0.111,1
200,0.461,8,0.515,0.161,1.78e-06,0.089,1
201,0.841,11,0.0948,0.0193,7.71e-05,0.333,1
202,0.785,1,0.0396,0.0524,0.00111,0.111,1
203,0.791,8,0.324,0.372,6.22e-05,0.471,1
204,0.547,0,0.333,0.0388,0.0,0.0924,1
205,0.683,7,0.0604,0.388,0.0,0.286,1
206,0.561,9,0.072,0.465,1.12e-06,0.0338,1
207,0.468,10,0.0625,0.0465,0.0,0.826,1
208,0.539,4,0.36,0.0408,0.0,0.253,1
209,0.538,2,0.394,0.123,0.0,0.0848,1
210,0.365,7,0.0383,0.433,0.0,0.207,1
211,0.671,2,0.0553,0.00929,0.0,0.0637,1
212,0.724,5,0.039,0.0681,9.29e-05,0.139,1
213,0.681,8,0.232,0.538,0.0,0.555,1
214,0.607,1,0.0322,0.0543,0.0,0.113,1
215,0.728,9,0.0359,0.0174,0.0299,0.0779,1
216,0.542,7,0.051,0.387,0.0,0.114,1
217,0.363,5,0.101,0.487,3.41e-06,0.205,1
218,0.518,11,0.299,0.0703,0.0,0.122,1
219,0.883,0,0.0329,0.333,7.51e-06,0.0964,1
220,0.738,7,0.157,0.00826,0.0,0.26,1
221,0.735,10,0.73,0.146,0.0,0.124,1
222,0.283,0,0.328,0.618,3.73e-06,0.0825,1
223,0.673,11,0.159,0.264,3.35e-06,0.0904,1
224,0.73,1,0.0598,0.00146,9.54e-05,0.0897,1
225,0.631,7,0.0515,0.291,0.000209,0.123,1
226,0.741,11,0.334,0.0252,0.0,0.096,1
227,0.406,10,0.0427,0.587,4.48e-06,0.102,1
228,0.855,9,0.0397,0.021,0.0,0.323,1
229,0.799,2,0.0342,0.0129,5.46e-06,0.215,1
230,0.878,1,0.123,0.00792,0.0,0.944,1
231,0.491,8,0.0296,0.018,1.29e-05,0.0887,1
232,0.844,0,0.0457,0.0137,0.000658,0.102,1
233,0.589,7,0.0485,0.0863,0.0,0.162,1
234,0.491,6,0.0538,0.0563,0.00089,0.11,1
235,0.45,8,0.0418,0.223,0.0,0.382,1
236,0.729,4,0.0884,0.167,1.39e-06,0.349,1
237,0.461,9,0.0279,0.627,0.0,0.386,1
238,0.168,4,0.304,0.901,0.0,0.134,1
239,0.74,4,0.0284,0.0115,0.00678,0.167,1
240,0.373,7,0.0384,0.723,0.81,0.289,1
241,0.582,6,0.0542,0.23,0.000157,0.0663,1
242,0.525,5,0.0578,0.183,0.0,0.0714,1
243,0.373,7,0.158,0.852,0.118,0.108,1
244,0.845,4,0.253,0.759,0.232,0.1,1
245,0.457,6,0.0465,0.0292,0.000294,0.444,1
246,0.392,7,0.475,0.112,0.0,0.0319,1
247,0.554,8,0.289,0.493,0.000425,0.332,1
248,0.578,0,0.0722,0.196,0.433,0.0965,1
249,0.412,1,0.607,0.119,0.0,0.0903,1
250,0.412,0,0.434,0.0778,1.12e-06,0.0867,1
251,0.796,4,0.0534,0.0284,0.0,0.0658,1
252,0.403,2,0.205,0.263,1.56e-06,0.228,1
253,0.729,5,0.0475,0.612,0.0,0.224,1
254,0.751,7,0.0874,0.177,6.43e-05,0.106,1
255,0.631,6,0.0896,0.519,0.000579,0.165,1
256,0.833,1,0.253,0.0277,0.0,0.0596,1
257,0.68,1,0.106,0.0078,0.0165,0.0493,1
258,0.556,1,0.216,0.0145,0.000179,0.0733,1
259,0.82,1,0.0728,0.032,4.76e-06,0.0706,1
260,0.818,5,0.0334,0.00647,4.87e-06,0.0219,1
261,0.431,8,0.135,0.731,0.0,0.696,1
262,0.635,5,0.163,0.323,0.0,0.0738,1
263,0.581,0,0.0424,0.537,0.000345,0.25,1
264,0.733,11,0.142,0.216,0.0,0.274,1
265,0.312,7,0.0521,0.443,0.0,0.247,1
266,0.431,6,0.0622,0.749,0.0,0.0996,1
267,0.797,6,0.0533,0.00543,0.00137,0.26,1
268,0.639,10,0.223,0.129,0.0,0.256,1
269,0.774,11,0.0892,0.0686,0.00188,0.393,1
270,0.525,9,0.028,0.617,0.0,0.356,1
271,0.59,2,0.121,0.0854,0.0,0.108,1
272,0.481,0,0.0803,0.234,0.0,0.269,1
273,0.604,11,0.0746,0.329,0.0,0.255,1
274,0.592,4,0.23,0.758,0.0,0.156,1
275,0.716,7,0.0385,0.0969,0.0,0.0989,1
276,0.893,7,0.439,0.827,0.642,0.212,1
277,0.531,7,0.122,0.0703,0.0,0.224,1
278,0.705,3,0.0278,0.0371,1.94e-05,0.0943,1
279,0.279,9,0.903,0.65,0.000312,0.246,1
280,0.716,7,0.0361,0.174,0.0,0.324,1
281,0.621,0,0.0486,0.424,7.39e-06,0.692,1
282,0.955,10,0.222,0.127,0.0,0.202,1
283,0.431,10,0.0364,0.123,0.0,0.0887,1
284,0.657,7,0.0345,0.288,0.856,0.102,1
285,0.795,11,0.117,0.0394,0.000565,0.101,1
286,0.639,5,0.0259,0.00143,0.0,0.221,1
287,0.882,3,0.0477,0.000441,6.47e-05,0.068,1
288,0.425,5,0.0333,0.584,0.0,0.322,1
289,0.652,0,0.0668,0.102,0.0,0.0697,1
290,0.554,0,0.0383,0.207,0.0,0.132,1
291,0.729,0,0.326,0.171,0.0,0.07,1
